season,week,celebrity_name,fan_vote_share,fan_rank,mean,std,cv,certainty,ci_low,ci_high,ci_width,judge_total,eliminated,week_type,regime
7,1,Lance Bass,0.07842911421218515,5.0,0.07825386414527151,0.00038781653476485667,0.004955877118667379,0.9950685624797017,0.07753603735414236,0.07892851882386746,0.001392481469725107,21.5,False,multi_elim,percent
7,1,Kim Kardashian,0.0756775028063391,10.0,0.07590552728578359,0.00044582988119273967,0.00587348375190379,0.9941608126202951,0.07522997935911499,0.07680937980832471,0.0015794004492097197,18.5,False,multi_elim,percent
7,1,Rocco DiSpirito,0.0747819215716055,11.0,0.07474391215202857,0.0005923137441334533,0.007924575086847093,0.9921377300616325,0.07356673010670892,0.07574208658125173,0.002175356474542811,17.5,False,multi_elim,percent
7,1,Brooke Burke,0.08128077338715695,2.0,0.0811169592885322,0.0006778612171859716,0.008356590571582277,0.9917126633080808,0.07992537735595445,0.08242325341594656,0.0024978760599921046,24.5,False,multi_elim,percent
7,2,Cloris Leachman,0.08583450770261872,10.0,0.08056793704623291,0.0005309098869709754,0.006589592664713748,0.9934535458018503,0.07980298044806028,0.08146188786739024,0.0016589074193299608,15.0,False,single_elim,percent
7,2,Susan Lucci,0.09311814629091367,4.0,0.08731523799302067,0.0005712839184424074,0.006542774566886843,0.9934997550703175,0.08623793229976154,0.08833078755913296,0.002092855259371418,21.0,False,single_elim,percent
7,2,Cody Linley,0.09311814629091367,6.0,0.08719586351932909,0.000424680550855104,0.004870420840100554,0.9951531851877691,0.0864852289400882,0.08811023426232253,0.0016250053222343352,21.0,False,single_elim,percent
7,2,Misty May-Treanor,0.09311814629091367,5.0,0.08718384361175843,0.000559508181643476,0.00641756727467812,0.9936233552718516,0.08610291466359829,0.08818981166001882,0.002086896996420534,21.0,False,single_elim,percent
7,2,Maurice Greene,0.09062406137214121,8.0,0.08481513487005346,0.0005491662247850464,0.006474861186348783,0.9935667929363713,0.08384707126417798,0.0857400712903633,0.0018930000261853236,19.0,False,single_elim,percent
7,2,Warren Sapp,0.09698856248406085,1.0,0.09083301600698339,0.0006643951954348041,0.007314468071650559,0.9927386448785422,0.08994787150681716,0.09232117329195576,0.0023733017851386012,24.0,False,single_elim,percent
7,2,Toni Braxton,0.09568087147462087,3.0,0.0895186482077628,0.0006097469722641787,0.00681139611099828,0.9932346851284077,0.08839337103763567,0.09058002868507693,0.002186657647441262,23.0,False,single_elim,percent
7,2,Lance Bass,0.09186263987240832,7.0,0.08585129493629104,0.0005787702432872879,0.006741543545927695,0.9933036005227491,0.0847614812106738,0.08682197038578805,0.002060489175114255,20.0,False,single_elim,percent
7,2,Kim Kardashian,0.07565872939259637,11.0,0.001081555469520982,5.143028826599404e-07,0.00047552150319920595,0.9995247045100265,0.0010806495188456122,0.001082371555474145,1.7220366285326805e-06,17.0,True,single_elim,percent
7,2,Rocco DiSpirito,0.08700762634475184,9.0,0.08162684760042246,0.0006122727350798465,0.007500874443627021,0.9925549697931833,0.08028108983315094,0.08252415255851538,0.002243062725364439,16.0,False,single_elim,percent
7,2,Brooke Burke,0.09698856248406085,2.0,0.09075091661018728,0.0005838427405080547,0.0064334638405461044,0.9936076610410031,0.08951966482145926,0.09169411608778459,0.0021744512663253307,24.0,False,single_elim,percent
7,3,Cloris Leachman,0.1111111111111111,1.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,16.0,False,no_elim,percent
7,3,Susan Lucci,0.1111111111111111,2.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,21.0,False,no_elim,percent
7,3,Cody Linley,0.1111111111111111,3.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,21.0,False,no_elim,percent
7,3,Maurice Greene,0.1111111111111111,4.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,24.0,False,no_elim,percent
7,3,Warren Sapp,0.1111111111111111,5.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,25.0,False,no_elim,percent
7,3,Toni Braxton,0.1111111111111111,6.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,22.0,False,no_elim,percent
7,3,Lance Bass,0.1111111111111111,7.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,22.0,False,no_elim,percent
7,3,Rocco DiSpirito,0.1111111111111111,8.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,20.0,False,no_elim,percent
7,3,Brooke Burke,0.1111111111111111,9.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,28.0,False,no_elim,percent
7,4,Cloris Leachman,0.11013030823686214,7.0,0.09008014765038817,0.0007161309562868838,0.007949930977758536,0.992112771940917,0.08901417552134733,0.09138499992416695,0.0023708244028196185,22.0,False,single_elim,percent
7,4,Susan Lucci,0.11343397337433471,3.0,0.09276242995617083,0.0005385018955256142,0.005805172371832541,0.9942283331491095,0.09190078997818425,0.09392438072150197,0.0020235907433177186,24.0,False,single_elim,percent
7,4,Cody Linley,0.11176993536836054,4.0,0.09134878433445087,0.0006536764280400759,0.007155830619998205,0.9928950114744477,0.09002855064384778,0.09235001716166971,0.0023214665178219324,23.0,False,single_elim,percent
7,4,Maurice Greene,0.10692285945341372,8.0,0.08756406802489562,0.0005753078525635876,0.0065701361933072815,0.9934727487364621,0.08665034794599623,0.08842618166686346,0.0017758337208672315,20.0,False,single_elim,percent
7,4,Warren Sapp,0.11013030823686214,6.0,0.090187855829072,0.0006219988050822746,0.006896702436979034,0.993150536276177,0.08900372989705083,0.09110681332250466,0.0021030834254538305,22.0,False,single_elim,percent
7,4,Toni Braxton,0.11013030823686214,5.0,0.08998224644750143,0.000649575615342598,0.00721893085567253,0.9928328086034486,0.0888179313141592,0.09114081943823676,0.002322888124077563,22.0,False,single_elim,percent
7,4,Lance Bass,0.11683674114318353,1.0,0.09556785913486733,0.0006261380408541363,0.006551763809739815,0.9934908823914412,0.09455738379449967,0.09677829059771385,0.0022209068032141843,26.0,False,single_elim,percent
7,4,Rocco DiSpirito,0.10380882480693766,9.0,0.0010838596198835153,6.084925579717552e-07,0.0005614127021700017,0.9994389023052029,0.0010826026164490587,0.0010848824393046093,2.2798228555506207e-06,18.0,True,single_elim,percent
7,4,Brooke Burke,0.11683674114318353,2.0,0.09553373419246732,0.000560753607579975,0.005869692128335015,0.9941645601072687,0.09480102107162135,0.09650609024795744,0.0017050691763360881,26.0,False,single_elim,percent
7,5,Cloris Leachman,0.11949348694950851,6.0,0.08986576901064477,0.0006690387127127746,0.00744486716219527,0.9926101492946546,0.08870301223356665,0.09108049073811482,0.0023774785045481694,21.0,False,single_elim,percent
7,5,Susan Lucci,0.12134606232721765,5.0,0.09127945276185502,0.0008240588058903201,0.009027867509682179,0.991052905672503,0.08987600548572944,0.09257383068393424,0.0026978251982048007,22.0,False,single_elim,percent
7,5,Cody Linley,0.133080495579359,2.0,0.10000586576905844,0.0008354414913954986,0.008353924892013505,0.9917152849948909,0.09854160576553961,0.10151182741429403,0.0029702216487544203,28.0,False,single_elim,percent
7,5,Maurice Greene,0.13104877205545237,3.0,0.09841843047199421,0.0006407156125247216,0.006510118170468515,0.9935319893432348,0.09732392166843602,0.09944806417595052,0.002124142507514498,27.0,False,single_elim,percent
7,5,Warren Sapp,0.1270779056764389,4.0,0.09539701595317704,0.0006327252353691528,0.006632547454940396,0.9934111533829206,0.0942531077072791,0.09635662323484828,0.002103515527569183,25.0,False,single_elim,percent
7,5,Toni Braxton,0.1133160723958264,8.0,0.0010902269654840544,7.942420126873467e-07,0.0007285107026633742,0.9992720196388211,0.0010889693566811733,0.0010914303197659895,2.4609630848162426e-06,22.0,True,single_elim,percent
7,5,Lance Bass,0.11949348694950851,7.0,0.08990639261230643,0.0007152924170663518,0.007955968383147454,0.9921068294323317,0.08870191174879918,0.09132062039986251,0.0026187086510633256,21.0,False,single_elim,percent
7,5,Brooke Burke,0.1351437180666886,1.0,0.10107400954704747,0.000632605216615393,0.006258831715990556,0.993780097606381,0.10005216349396176,0.10215207822359425,0.0020999147296324877,29.0,False,single_elim,percent
7,6,Cloris Leachman,0.12299587237442587,7.0,0.001083951688653097,6.155499703558552e-07,0.0005678758350574912,0.9994324464648802,0.0010828650846327833,0.0010849896441460225,2.124559513239175e-06,15.0,True,single_elim,percent
